"subjid","condition","gamble_order_exp","type","reward","probability","choicenum","bdm","rt","payoffPos"
113,1,43,"1",763,66,44,642,7.747,"bottom"
113,1,11,"1",190,92,12,188,11.089,"bottom"
113,1,97,"1",1704,33,98,518,9.802,"bottom"
113,1,72,"1",1277,54,73,766,6.035,"bottom"
113,1,55,"1",973,62,56,576,11.184,"bottom"
113,1,90,"1",1483,39,91,587,4.644,"bottom"
113,1,58,"1",977,61,59,645,8.009,"bottom"
113,1,3,"1",31,99,4,30,11.139,"bottom"
113,1,1,"1",7,100,2,7,8.943,"bottom"
113,1,0,"1",3,100,1,3,5.169,"bottom"
113,1,80,"1",1335,45,81,703,13.363,"bottom"
113,1,84,"1",1527,40,85,611,4.214,"bottom"
113,1,30,"1",695,75,31,626,11.308,"bottom"
113,1,53,"1",919,62,54,436,4.101,"bottom"
113,1,56,"1",973,58,57,448,5.036,"bottom"
113,1,33,"1",651,69,34,546,7.758,"bottom"
113,1,77,"1",1285,50,78,710,7.957,"bottom"
113,1,31,"1",687,69,32,471,3.527,"bottom"
113,1,88,"1",1651,40,89,560,6.501,"bottom"
113,1,59,"1",1001,61,60,692,5.526,"bottom"
113,1,60,"1",1039,58,61,618,4.143,"bottom"
113,1,9,"1",172,93,10,151,11.503,"bottom"
113,1,94,"1",1625,37,95,483,2.68,"bottom"
113,1,48,"1",874,69,49,680,12.914,"bottom"
113,1,52,"1",877,59,53,510,3.128,"bottom"
113,1,12,"1",279,88,13,254,5.746,"bottom"
113,1,18,"1",387,82,19,285,5.57,"bottom"
113,1,21,"1",494,78,22,328,4.094,"bottom"
113,1,10,"1",177,93,11,164,6.279,"bottom"
113,1,35,"1",696,72,36,401,3.739,"bottom"
113,1,41,"1",749,69,42,471,11.482,"bottom"
113,1,76,"1",1234,50,77,793,19.301,"bottom"
113,1,87,"1",1511,37,88,634,6.719,"bottom"
113,1,28,"1",597,74,29,407,6.897,"bottom"
113,1,27,"1",521,76,28,475,3.25,"bottom"
113,1,38,"1",839,73,39,661,3.214,"bottom"
113,1,62,"1",1093,56,63,684,5.982,"bottom"
113,1,20,"1",483,83,21,405,5.062,"bottom"
113,1,69,"1",1076,57,70,618,3.601,"bottom"
113,1,57,"1",1046,60,58,762,3.626,"bottom"
113,1,65,"1",1111,54,66,738,4.374,"bottom"
113,1,82,"1",1446,44,83,727,5.583,"bottom"
